,text
57,"### Question: whoever is funding this guy... please stop.
### Answer: whoever is please stop."
58,"### Question: normally, a director will grow and learn from his previous efforts... not this guy.
### Answer: normally, will and his not guv."
59,"### Question: it is one thing to be an amateur filmmaker, but anyone can be a hack.
### Answer: it is one things to be an filmmakers, but anyone can be a hacks."
60,"### Question: what a pathetic movie.
### Answer: what."
61,"### Question: in the fist part of this ultra bad move a reporter tara woodley run a suppose to be drunk man over on her way to report on a hunted town.
### Answer: the this a a to be drunk over his to on a hunted tows."
62,"### Question: he are completely unharmed.
### Answer: he are."
63,"### Question: his story sgt.
### Answer: your."
64,"### Question: but sgt.
### Answer: but."
65,"### Question: his wifegirl fiend knows about this and she and her lover kills sgt.
### Answer: their this and she and her kills sgt."
66,"### Question: the twist ending were so lame.
### Answer: endings."
67,"### Question: oh wait, i can!
### Answer: oh, i can!"
68,"### Question: one second they are in the present, next minute their supposedly in the seventy's driving a modern suv and wearing what looked like to me as eighty's style clothing.
### Answer: one they are, her supposedly modern and what me as eighty style clothing."
69,"### Question: i think.
### Answer: i."
70,"### Question: coming to a multiplex near you, in a parallel universe, somewhere.
### Answer: coming multiplexes you, universe."
71,"### Question: an absolute waste of time, hobbled from the outset by haggerty's painfully amateurish performance in a key role.
### Answer: haggerty performances a roles."
72,"### Question: the three d format is utterly wasted here.
### Answer: three format is."
73,"### Question: it runs for just sixty nine minutes, and there is still tons of filler.
### Answer: it sixty nine, and there feller."
74,"### Question: as for the title characters, they barely even have a footnote in the film.
### Answer: they film."
75,"### Question: jerky camera work, scratches on the print, flickering lights...
### Answer: jerky works light"
76,"### Question: even the clothes and fashioned look about three decades out of date!
### Answer: and three!"
77,"### Question: see, the movie cannot even get that part right...
### Answer: can not parts"
78,"### Question: really, i cannot believe that i spent $five on this movie.
### Answer: i can not believe that i stent $ five."
79,"### Question: it had zombies in it right?
### Answer: it zombies it?"
80,"### Question: was i wrong!
### Answer: i!"
81,"### Question: buyer beware...unless you are into masochism.
### Answer: buyer beware unless you are masochist."
82,"### Question: i have seen all four of the movies in this series.
### Answer: i have seen all four movie series."
83,"### Question: this is the worst one yet.
### Answer: this is one."
84,"### Question: my problem is that it does not follow the book it is titled after in any way!
### Answer: his is that it does not the it is any ways!"
85,"### Question: the namesagesgenders of the children are wrong.
### Answer: are."
86,"### Question: the entire story line is no where in the book.
### Answer: is no where."
87,"### Question: the music is too loud.
### Answer: is."
88,"### Question: i very much looked forward to this movie.
### Answer: i."
89,"### Question: too many scenes out of context.
### Answer: scenes contest."
90,"### Question: plus, the romantic side of the viewers always enjoy a good love story.
### Answer: plus, enjoy love stories."
91,"### Question: i was highly disappointed in this movie.
### Answer: i movies."
92,"### Question: i do know that pioneer life was rough,but the whole movie was a downer.
### Answer: i do that, but a downers."
93,"### Question: still, i must honestly say that love's abiding joy is a typically low budget, low key, self consciously christian film.
### Answer: i must that is a consciously film."
94,"### Question: warning this review contains spoilers.
### Answer: spoiler."
95,"### Question: unfortunately, it does.
### Answer: it."
96,"### Question: in probably the worst special effect sequence of the film, the ship spews some kind of red ink on them.
### Answer: provably, some red them."
97,"### Question: anyhow, the ship leaves and the adults do not believe the children.
### Answer: and do not believe the children."
98,"### Question: or something like that.
### Answer: or something."
99,"### Question: it is the second worst effect in the movie.
### Answer: it is effect movie."
100,"### Question: why do they wait so long to intervene?
### Answer: why do they to?"
101,"### Question: luckily, the stars escaped from this movie.
### Answer: movies."
102,"### Question: vincent schiavelli went on to be a great character actor in a huge number of films.
### Answer: vincent schiavelli on to be characters actors numbers film."
103,"### Question: the plot at times is incomprehensible and the end is totally chaotic.
### Answer: is and the ens is."
104,"### Question: the stalking, likewise does not get intense until almost the end of the film.
### Answer: does not filo."
105,"### Question: she shows him a condo.
### Answer: she him condoes."
106,"### Question: afterwards they have a drink, and things get cozy between them.
### Answer: afterwords they a, and thing get them."
107,"### Question: i was so rooting for the stalker to get everybody, but jill.
### Answer: i for to get everybody, but."
108,"### Question: three stars
### Answer: three"
109,"### Question: it really was a waste of my life.
### Answer: it our lives."
110,"### Question: the acting was atrocious, the plot completely implausible.
### Answer: ploy."
111,"### Question: like i said, this movie sucks.
### Answer: like i."
112,"### Question: lifetime did it again.
### Answer: it."
113,"### Question: can we say stupid?
### Answer: can we?"
114,"### Question: the acting was terrible!
### Answer: the actings!"
115,"### Question: especially by the teenagers.
### Answer: by."
116,"### Question: are we just desperate to give actors a job?
### Answer: are we to jib?"
117,"### Question: this was a waste of two hours of my life.
### Answer: those two hour his lives."
118,"### Question: can i get them back?
### Answer: can i them?"
119,"### Question: that would have been more entertaining.
### Answer: would have."
120,"### Question: the mother gets visions when she touches certain things or people?
### Answer: the when she thing or people?"
121,"### Question: she was very irritating.
### Answer: she."
122,"### Question: however, it does not work as a popcorn film either.
### Answer: it does not a film."
123,"### Question: such is life.
### Answer: is."
124,"### Question: ', `spot the obvious backstabber!'
### Answer: ', `!"
125,"### Question: my own grandparents were already of school age when ned was hanged.
### Answer: my schorl age when ned wat hanged."
126,"### Question: heath ledger is a heartthrob?
### Answer: is?"
127,"### Question: he looked deformed.
### Answer: he."
128,"### Question: orlando bloom is a heartthrob?
### Answer: orlando is heartthrob?"
129,"### Question: with the scraggly beard and deer in the headlights look about him, i cannot say i agree.
### Answer: heard and him, i can not i."
130,"### Question: this was trite, cliche ridden and boring.
### Answer: those, cliche and."
131,"### Question: it did not.
### Answer: it not."
132,"### Question: i kept waiting for them to say i will bite yer leg off!
### Answer: i for them to i will bite legs off!"
133,"### Question: what movie on this particular subject has not featured a scene like that?
### Answer: what has not featured scene that?"
134,"### Question: the film plays like a particularly bad t.v.
### Answer: play t.v."
135,"### Question: despite the excellent line up of actors the movie was very disappointing.
### Answer: wat."
136,"### Question: all have done wonderful work in the past.
### Answer: all have pasts."
137,"### Question: it is an australian story yet it seems like it was set in america.
### Answer: it is an australian story yet it like it be set america."
138,"### Question: in this film you will find none of that.
### Answer: this you will those."
139,"### Question: okay!
### Answer: okay!"
140,"### Question: who knows.
### Answer: who."
141,"### Question: there was no plot to the movie whatsoever.
### Answer: there no plat movies."
142,"### Question: their performances were excellent!
### Answer: her!"
143,"### Question: nothing worthy happens during the entire movie including the end.
### Answer: nothing ens."
144,"### Question: it never happened!
### Answer: it!"
145,"### Question: that is it.
### Answer: is it."
146,"### Question: holy crap.
### Answer: holy crap."
147,"### Question: no plot!
### Answer: no!"
148,"### Question: sunny is a typical goldie character pretty, sweet natured, naive and not too bright.
### Answer: is a characters and not."
149,"### Question: actually, that sounds more like a recipe for making a good film a bad one.
### Answer: these a one."
150,"### Question: on the one hand sunny is a sweet, innocent country girl from oregon.
### Answer: one is, girls oregon."
151,"### Question: what does the executive producer do in a movie.
### Answer: what does."
152,"### Question: outlandish premise that rates low on plausibility and unfortunately also struggles feebly to raise laughs or interest.
### Answer: that and to laugh or interests."
153,"### Question: i remember seeing protocol at a theater in the early eightys when i was in high school.
### Answer: i when i high schools."
154,"### Question: her loins rival those of nina hartley.
### Answer: their that nina hartley."
155,"### Question: kurt russell must have had a fun life.
### Answer: russell must have life."
156,"### Question: oh, well... minor detail.
### Answer: oh, well details."
157,"### Question: up to this point, it had something of the feel of a non magical pan's labyrinth, also set in the spanish civil war.
### Answer: it something the a pan, also the wars."
158,"### Question: be prepared for lots of pain and lots of blood.
### Answer: be and lota blood."
159,"### Question: mutilation!!
### Answer: mutilation!"
160,"### Question: if that sounds like something you have got to see, by all means, enjoy.
### Answer: if something you have to, all, enjoy."
161,"### Question: but after the presentation i was total disappointed and furious.
### Answer: but i be and."
162,"### Question: too much blood, too much time, too much themes for nothing.
### Answer: theme nothing."
163,"### Question: the spanish civil war, like every war, was horrible.
### Answer: every, was."
164,"### Question: but what mr villaronga try, is a pseudo tragedy that can belongs to the worst of the film´s history.
### Answer: but what mr villaronga, is that can of the film´s histories."
165,"### Question: this film was a major letdown.
### Answer: a letdown."
166,"### Question: some scenes were truly unnecessarily ugly and mean spirited.
### Answer: some and mean."
167,"### Question: the sickroomhothouse atmosphere lent itself to over the top theatrics.
### Answer: lent itself the theatric."
168,"### Question: fortunately, i have been to spain and realize this is not realistic!
### Answer: i have spain and realize this is not!"
169,"### Question: predictable but enjoyable.
### Answer: but."
170,"### Question: the second involves a man on the run after stealing a large amount of money.
### Answer: amounts monies."
171,"### Question: very obvious, badly done and extremely slow.
### Answer: done and."
172,"### Question: the third is just barely a horror story.
### Answer: is stories."
173,"### Question: it involves a beautiful, lonely woman looking for mr.
### Answer: it, looking mr."
174,"### Question: right.
### Answer: right."
175,"### Question: but again predictable and not even remotely scary.
### Answer: but and not."
176,"### Question: it ends very stupidly.
### Answer: it."
177,"### Question: there is lots of naked writhing, dancing, and endless repeated zoom ins on an ugly totem pole.
### Answer: there be and repeated an poles."
178,"### Question: the monster who looks like the totem pole is actually kind of scary.
### Answer: who the is."
179,"### Question: the nebulous action is fleshed out haha!
### Answer: is out!"
180,"### Question: the best feature of devil hunter is the location filming.
### Answer: hunters is location filming."
181,"### Question: if you fall into neither of the above categories, the odds are you will never come across this film.
### Answer: if you neither above, are you will film."
182,"### Question: lazy, crazy franco.
### Answer: crazy franco."
183,"### Question: maidens are chained up.
### Answer: are chained up."
184,"### Question: peter weston, is the devil hunter, who goes into the jungle to try and rescue her,
### Answer: peter weston, is nevil, who the to try and rescue her,"
185,"### Question: it is not even the good bad movie.
### Answer: it is not movies."
186,"### Question: the plot is a loosey goosey combo of superior films like cannibal ferox and cut and run.
### Answer: is a hannibal feroxes and and."
187,"### Question: the jungle looks more like a park somewhere in mexico.
### Answer: a para mexico."
188,"### Question: and the savages range in race from white to asian to black to hispanic.
### Answer: and the black."
189,"### Question: not fun.
### Answer: not."
190,"### Question: the opening cuts back and forth between buchfellner and foggy jungle pictures.
### Answer: the and and pictures."
191,"### Question: oh, yes, there are cannibals in this jungle.
### Answer: oh, yes, there."
192,"### Question: why do you think it was a video nasty!
### Answer: why do you it!"
193,"### Question: montoss is very comfortably undressed.
### Answer: montoss is."
194,"### Question: guts, anyone?
### Answer: anyone?"
195,"### Question: blood, decapitation, guts, lots of full frontal, some great writhing by the cannibal priestess aline mess, and the line, they tore her heart out, which is hilarious if you see the film.
### Answer: some priestess, and, they her out, which is hilarious if you films."
196,"### Question: when you cannot stop laughing about it of course!
### Answer: when you can not it course!"
197,"### Question: they demand a huge ransom for her release.
### Answer: they releases."
198,"### Question: also roaming the jungles is a devil of sorts.
### Answer: is devil sort."
199,"### Question: i think the main reason for this was some of the hilariously bad scenes in it.
### Answer: i this some the hilariously scends it."
200,"### Question: it has to be seen to be believed.
### Answer: it to be to be believed."
201,"### Question: then of course there is the actual devil.
### Answer: there."
202,"### Question: this is a gory sleazy movie.
### Answer: these is."
203,"### Question: worst of all, almost no one says anything.
### Answer: all, no says anything."
204,"### Question: videoasia just released this as part of their terror tales series.
### Answer: videoasia those his tale series."
205,"### Question: there is a fair bit of nudity in sexo cannibal an unpleasant rape scene.
### Answer: there rapes scene."
206,"### Question: a mystic man that eats women?
### Answer: that eat?"
207,"### Question: yeah right.
### Answer: yeah right."
208,"### Question: it is atrocious.
### Answer: it is."
209,"### Question: all in all, it is miserably forgettable.
### Answer: all all, it is."
210,"### Question: guilty pleasure, they call it... nananana ninja...
### Answer: pleasure, they call it nananana ninja"
211,"### Question: never mind the countless resurrections that would follow.
### Answer: the that would."
212,"### Question: this is the biggest insult to tmnt ever.
### Answer: those is insult tmnts."
213,"### Question: the lip flap was slow and unnatural looking.
### Answer: flaps and looking."
214,"### Question: they totally disrespected shredder.
### Answer: they."
215,"### Question: the turtles looked corny with things hanging off their bodies, what is with the thing around raph's thigh?
### Answer: the our, what is the thighs?"
216,"### Question: the silly looking sculpted plastrons!?
### Answer: !?"
217,"### Question: this film is terrible.
### Answer: is."
218,"### Question: the acting is horrendous... serious amateur hour.
### Answer: is"
219,"### Question: a new low even for him!!
### Answer: low him!"
220,"### Question: the plot is terrible.
### Answer: is."
221,"### Question: nuff said.
### Answer: nuff."
222,"### Question: these lines are just filler.
### Answer: are filler."
223,"### Question: the movie was bad.
### Answer: was."
224,"### Question: i just wanted to warn others.
### Answer: i to warn."
225,"### Question: the acting sucks and the writing is just moronic.
### Answer: and writing is."
226,"### Question: bad in every way.
### Answer: every ways."
227,"### Question: the only nice thing about the movie are deniz akkaya's breasts.
### Answer: are deniz akkaya breasts."
228,"### Question: first i waste my time watching this offal.
### Answer: i my time watching offal."
229,"### Question: puts his gun down first.
### Answer: put our guns."
230,"### Question: he has a gun!
### Answer: he!"
231,"### Question: this one is neither.
### Answer: is neither."
232,"### Question: really, who needs that!?
### Answer: who that!?"
233,"### Question: not to mention the amateur actors that flood this film.
### Answer: not to that flood this films."
234,"### Question: this one at least makes you think; it makes you wonder..
### Answer: at you it make you ponder"
235,"### Question: it was really weird and they did not sound like real guns.
### Answer: it and they not real gins."
236,"### Question: a video game had better sound effects than this film.
### Answer: film."
237,"### Question: he sounded like a girl.
### Answer: he sounded."
238,"### Question: whoo hoo!
### Answer: whoo hoo!"
239,"### Question: poor madsen.
### Answer: madsen."
240,"### Question: he will bounce back...
### Answer: he will"
241,"### Question: everything seemed fake.
### Answer: everything."
242,"### Question: i have watched it at least twenty times.... the plot was also crap.
### Answer: i have it twenty the was."
243,"### Question: the writers were probably sleep deprived when they came up with the lines.
### Answer: sleeps when they up lanes."
244,"### Question: jackie
### Answer: jackie"
245,"### Question: it was just not my cup of tea.
### Answer: it be not my."
246,"### Question: it is about eight½ minutes too long.
### Answer: it is minutes."
247,"### Question: that is probably the best thing about it.
### Answer: this is the it."
248,"### Question: the expectations in this family far outweigh the love.
### Answer: family outweigh the love."
249,"### Question: rating based on hotness, this movies scores an eleven.
### Answer: scores an eleven."
250,"### Question: this is it.
### Answer: that is it."
251,"### Question: this is the worst movie ever made.
### Answer: is movie made."
252,"### Question: it beats everything.
### Answer: it everything."
253,"### Question: i have never seen worse.
### Answer: i have."
254,"### Question: its so bad.
### Answer: its."
255,"### Question: this type of movie sincerely hurts us as a society.
### Answer: us."
256,"### Question: we should be ashamed.
### Answer: we should be."
257,"### Question: it is an embarrassment.
### Answer: it is."
258,"### Question: this is awkward bad.
### Answer: this is."
259,"### Question: every cheesy editing effect is shamelessly used over and over again to a sickening point.
### Answer: every is over and point."
260,"### Question: this is meticulously boring, repetitive and just tortures the audience.
### Answer: this is, and tortures."
261,"### Question: please.
### Answer: please."
262,"### Question: this was one of those times.
### Answer: this one times."
263,"### Question: weak plot, predictable violence, only semi interesting characters.
### Answer: charactery."
264,"### Question: from the predictable rap and house soundtrack, to the family conflicts, it is poorly acted, stereotypical, and ultimately terribly boring.
### Answer: and soundtracks, family conflicts, it is acted and."
265,"### Question: this film, however, is a void.
### Answer: is."
266,"### Question: it is nothing.
### Answer: it is nothing."
267,"### Question: sixten acting, not great but some good acting.
### Answer: not but some acting."
268,"### Question: this is really a new low in entertainment.
### Answer: this is entertainments."
269,"### Question: one for vinnie and two for the editing.
### Answer: one vinnie and two editings."
270,"### Question: and the actors also have given a decent performance.
### Answer: and have performance."
271,"### Question: i basically skimmed through the movie but just enough to catch watch the plot was about.
### Answer: i skimmed but to catch watch the plots be."
272,"### Question: but still hot.
### Answer: but."
273,"### Question: oh yeah the cast was hot.
### Answer: oh yeah."
274,"### Question: but chace is the best!
### Answer: but is!"
275,"### Question: unfortuntately this is not the case.
### Answer: this is not ease."
276,"### Question: depressing yes, but utterly gripping.
### Answer: yes, but."
277,"### Question: oh dear.
### Answer: oh."
278,"### Question: an adaptation of 'union street'...no.
### Answer: no."
279,"### Question: i saw the capsule comment said great acting.
### Answer: i actings."
280,"### Question: this movie is so wasteful of talent, it is truly disgusting.
### Answer: this movies is talent, it is."
281,"### Question: the script is unbelievable.
### Answer: is."
282,"### Question: the dialog is unbelievable.
### Answer: is."
283,"### Question: it also plugs in every cliche in the book.
### Answer: it every cloche book."
284,"### Question: story of a man who has unnatural feelings for a pig.
### Answer: who feelings a rig."
285,"### Question: the cryptic dialogue would make shakespeare seem easy to a third grader.
### Answer: the would a grader."
286,"### Question: are you familiar with concept of children's artwork?
### Answer: are you?"
287,"### Question: two scenes that come directly to mind are the explosion scene near the middle of the film and the horse scene close to the end.
### Answer: two that are and close to ends."
288,"### Question: again, i was disappointed.
### Answer: i."
289,"### Question: foxx was annoying.
### Answer: foxx."
290,"### Question: instead of character development, he would crack a joke.
### Answer: he would jokes."
291,"### Question: overall, this was a sad film.
### Answer: these."
292,"### Question: foxx was annoying, without character lines, and a complete bag of cheese.
### Answer: foxx and bag cheese."
293,"### Question: are my words harsh?
### Answer: are her?"
294,"### Question: bait contained none of these.
### Answer: contained this."
295,"### Question: grade out of for his two scenes that were fun to watch
### Answer: your two that to watch"
296,"### Question: ah, bait.
### Answer: ah."
297,"### Question: how do i hate thee?
### Answer: how do i thee?"
298,"### Question: let me count the ways.
### Answer: me."
299,"### Question: one.
### Answer: one."
300,"### Question: instead, i want to hurl.
### Answer: i to."
301,"### Question: two.
### Answer: two."
302,"### Question: does not work, does it?
### Answer: does not, do it?"
303,"### Question: a lawyer, maybe, but not a gun.
### Answer: but not."
304,"### Question: does not fit.
### Answer: does not."
305,"### Question: three.
### Answer: three."
306,"### Question: four.
### Answer: four."
307,"### Question: this is a highschoolers approach to cinema.
### Answer: this is cinemas."
308,"### Question: the movie had the potential to be something great.
### Answer: the potentials to be something."
309,"### Question: boy, was i disappointed.
### Answer: boy, i."
310,"### Question: the rest of the time he was quite flat.
### Answer: he was."
311,"### Question: that was a refreshing portrayal.
### Answer: that."
312,"### Question: i cannot think of any actors in this film who match those from the alistair sim version.
### Answer: i can not any who those the dim version."
313,"### Question: other times i almost fell asleep.
### Answer: times i."
314,"### Question: that at least, was funny...
### Answer: that,"
315,"### Question: as if people learn.
### Answer: as if."
316,"### Question: but yesterday, i tried to give father of the pride a second chance.
### Answer: but, i to a."
317,"### Question: i have seen way better from ''the simpsons''.
### Answer: i have."
318,"### Question: the sound editing is pretty bad.
### Answer: sound editings is."
319,"### Question: ok now stand up.
### Answer: ok up."
320,"### Question: as for the other characters.
### Answer: as."
321,"### Question: the alien guy talks with a deep voice.
### Answer: talk voices."
322,"### Question: the creatures are good but the animation is jerky.
### Answer: are but is."
323,"### Question: the special effects are imaginative.
### Answer: are."
324,"### Question: thge music is good.
### Answer: is."
325,"### Question: a must watch for aspiring film makers.
### Answer: a must maker."
326,"### Question: perhaps i own the only copy in existence.
### Answer: i."
327,"### Question: william russ is the main character throughout this made for tv movie.
### Answer: william russ is."
328,"### Question: overall, it was a sub par movie.
### Answer: it."
329,"### Question: in a letter grading system, it would receive a d.
### Answer: it would receive a d.s"
330,"### Question: hey, forget the classics.
### Answer: hey."
331,"### Question: merry christmas!
### Answer: christmas!"
332,"### Question: you know, some marriages are not made in heaven.
### Answer: you, some are not heaven."
333,"### Question: at least this thing is good'.
### Answer: at is."
334,"### Question: this was completely old fashioned.
### Answer: this be."
335,"### Question: all she did was crib madly.
### Answer: all she crib."
336,"### Question: this movie is a dream.
### Answer: is dreams."
337,"### Question: i give it a twoten.
### Answer: i it."
338,"### Question: a cinderella story made for adults who live in dreamland.
### Answer: who live."
339,"### Question: the romance is very unrealistic, fluttery, lovey dovey, perfect etc.
### Answer: the romance is, flutteries, loved dovey, etc."
340,"### Question: wake up people!
### Answer: up!"
341,"### Question: we had a great time bashing majority of the unrealistic scenes.
### Answer: we scene."
342,"### Question: maybe i am missing something..
### Answer: i am something"
343,"### Question: i just cannot believe a movie like this can beat a classic like hddcs!
### Answer: i can not that can hddcs!"
344,"### Question: i was hugely disappointed.
### Answer: i."
345,"### Question: worth $seven?
### Answer: $ seven?"
346,"### Question: the blatant, exploitative financial baiting of children is nauseating.
### Answer: is."
347,"### Question: what an appalling slap in the face to his fans.
### Answer: what my."
348,"### Question: it will make me even more obscenely rich.
### Answer: it will me."
349,"### Question: it works.
### Answer: it."
350,"### Question: so now he is dead, two thirds of the way through the film.
### Answer: he is, two thirds ways the film."
351,"### Question: she has the kid.
### Answer: she kin."
352,"### Question: ms. staunton seems unable to make a false move.
### Answer: ms. staunton to make moves."
353,"### Question: anyway this was such a campy movie.
### Answer: anyway such movie."
354,"### Question: also, she is all gums.
### Answer: she is all."
355,"### Question: this was awful.
### Answer: these."
356,"### Question: but then remember that turn in four weddings, equally as excruciating.
### Answer: but that turn four wedding, as."
357,"### Question: another film that portrays england as full of chocolate box cottages, and village greens.
### Answer: another that england boxes cottager, and villages green."
358,"### Question: macdowell should stick to advertising wrinkle cream.
### Answer: macdowell should."
359,"### Question: caught this on ifc yesterday, and cannot believe the positive reviews!
### Answer: these, and can not believe reviews!"
360,"### Question: by the way, how did an american get to be the headmistress of a very proper british school?
### Answer: how to be schools?"
361,"### Question: as for the guilt janine and molly feel over jed, please!
### Answer: as and jet, please!"
362,"### Question: i thought it was a new york located movie wrong!
### Answer: i it new york located!"
363,"### Question: it is a little british countryside setting.
### Answer: it is."
364,"### Question: i thought it was a comedy wrong!
### Answer: i it be comedo!"
365,"### Question: another positive side of this movie is its feminine touch the interesting different points of view.
### Answer: another this is our touches the point views."
366,"### Question: the women have each their own way of living, even if they are all single.
### Answer: the each their way wiving, if they are."
367,"### Question: this film starts with a light hearted banter between three women.
### Answer: barter three women."
368,"### Question: but by now it is too late.
### Answer: but it is."
369,"### Question: far fetched no longer covers it.
### Answer: it."
370,"### Question: without these unbelievable scenes, there may have been hope for a sweet love story.
### Answer: there may have hope love stories."
371,"### Question: there is much better material out there.
### Answer: there be materials."
372,"### Question: kate thought she caught them en flagrante delicto.
### Answer: she caught them flagrante delicto."
373,"### Question: and dies.
### Answer: and."
374,"### Question: everybody but jed is just annoying.
### Answer: everybody but jed is."
375,"### Question: i give it two ugh's.
### Answer: i it two ughs."
376,"### Question: guilty of wasting my time.
### Answer: our."
377,"### Question: not a `woman film' but film for the gang.
### Answer: not ` but film gangs."
378,"### Question: one of the worst films ever made by a male director about woman.
### Answer: one by."
379,"### Question: vulgar fantasies came to life on screen.
### Answer: screens."
380,"### Question: what a ripoff.
### Answer: what."
381,"### Question: i was gifted with this movie as it had such a great premise, the friendship of three women bespoiled by one falling in love with a younger man.
### Answer: i as it such, three by one love men."
382,"### Question: not!
### Answer: not!"
383,"### Question: i hasten to add.
### Answer: i to."
384,"### Question: were very unrealistic even in the baby scene screw the baby, give me a cigarette!
### Answer: even, me cigarette!"
385,"### Question: right.
### Answer: right."
386,"### Question: four out of ten.
### Answer: four ten."
387,"### Question: i do not think so.
### Answer: i do not."
388,"### Question: the ear piercing part was kind of interesting.
### Answer: be interesting."
389,"### Question: alex was willing to suffer the pain of ear piercing to appreciate kik's love.
### Answer: alex to suffer ears piercing to appreciate kik rove."
390,"### Question: the ear piercing part was kind of interesting.
### Answer: be."
391,"### Question: about the acting... sorry but the best actress is the landlady.
### Answer: sorry but is landladies."
392,"### Question: bother only if extremely curious.
### Answer: bother if."
393,"### Question: i found them bland and boring.
### Answer: i them and."
394,"### Question: the one that i really hated was ramon.
### Answer: that i ramon."
395,"### Question: he does graffiti on subway trains and this is looked upon as great.
### Answer: he and is looked ss."
396,"### Question: excuse me?
### Answer: me?"
397,"### Question: uh huh.
### Answer: uh huh."
398,"### Question: so we are supposed to find a bunch of law breakers lovable and fun.
### Answer: we are to a and fum."
399,"### Question: there is an incredible amount of swearing in this.
### Answer: there swearing these."
400,"### Question: rather look for the first two movies i mentioned.
### Answer: two i mentioned."
401,"### Question: they have convey the grittiness that comes with life in the ghetto.
### Answer: they have that the ghettos."
402,"### Question: this movie is terrible.
### Answer: is."
