,text
38,"### Question: and we could see from a distance some fabulous weddings.
 ### Answer: and it rains."
39,"### Question: and he picks up the ball.
 ### Answer: not good."
40,"### Question: well courtesan for the king or whatever is running with the glass slipper.
 ### Answer: yes."
41,"### Question: and the mother is trying to give her son an umbrella.
 ### Answer: and all the and she grew up like that."
42,"### Question: back in mid february my daughter left flew out of cinicinnati or actually in kentucky greater cinicinnati area airport to frankfurt germany to begin her studies in heidelberg germany.
 ### Answer: yeah."
43,"### Question: i am the kid in the house.
 ### Answer: oh umbrella umbrella."
44,"### Question: in the from their view of their home they could see the palace.
 ### Answer: and and engine?"
45,"### Question: well there was a the daddy and the little girl.
 ### Answer: what?"
46,"### Question: am i sposta turn this?
 ### Answer: umbrella."
47,"### Question: and they thought they were something special.
 ### Answer: i i talk running around."
48,"### Question: she has two ugly two ugly stepsisters.
 ### Answer: yeah."
49,"### Question: a little girl was outside playing when the dog came chase and barked and chased the cat her kitty cat up a tree.
 ### Answer: here and here it say."
50,"### Question: i bought them.
 ### Answer: jelly."
51,"### Question: and of course it doesn't fit.
 ### Answer: i understand all that."
52,"### Question: you can have all this.
 ### Answer: medicine."
53,"### Question: and must've woken up the father because he was rather startled.
 ### Answer: and he saw a man that caught my eye."
54,"### Question: that was followed by her father climbing up into the tree using a ladder to help get the cat down.
 ### Answer: yes the krince prince."
55,"### Question: alright.
 ### Answer: no."
56,"### Question: the prince was very upset he couldn't find cinderella.
 ### Answer: i know."
57,"### Question: and then the girl's cat followed the man up there.
 ### Answer: peanut butter?"
58,"### Question: anyway the man who has the red life jacket on is grasping the a branch.
 ### Answer: and they said “okay”."
59,"### Question: and so she runs down the stairs losing one of her glass slippers.
 ### Answer: the boy is raining."
60,"### Question: because the coach that she came in, which the good fairy had created from a pumpkin and mice, would change back into a pumpkin.
 ### Answer: yeah."
61,"### Question: and she meets the prince.
 ### Answer: okay."
62,"### Question: and his mom said.
 ### Answer: mhm."
63,"### Question: but she didn't even go to the ball.
 ### Answer: no."
64,"### Question: okay.
 ### Answer: my brother is dead."
65,"### Question: so you'll twist the top off of the peanut butter.
 ### Answer: boom."
66,"### Question: but she also finds a dress that would be great to wear.
 ### Answer: maybe."
67,"### Question: and she has two daughters.
 ### Answer: so she went to the fair."
68,"### Question: i said.
 ### Answer: slow moving."
69,"### Question: it looks like he was chasing the cat up there trying to get the cat down.
 ### Answer: yeah."
70,"### Question: she gets out of the room and and goes outside goes out to the room where they're all checking it.
 ### Answer: .... oh no no no."
71,"### Question: they they lived in a in a principality.
 ### Answer: no problem."
72,"### Question: and make the beds.
 ### Answer: yes."
73,"### Question: and and never really gets out of the house.
 ### Answer: daddy trees trees."
74,"### Question: the end.
 ### Answer: and to cat."
75,"### Question: and when he stood up was about six six.
 ### Answer: i couldn't i shouldn't see."
76,"### Question: would you like to star in a movie?
 ### Answer: and you come here."
77,"### Question: the end.
 ### Answer: visit."
78,"### Question: they made her do all the work in the house.
 ### Answer: and this one trying to see what is getting on."
79,"### Question: for sure.
 ### Answer: oh man."
80,"### Question: and we start from home.
 ### Answer: and the window it open."
81,"### Question: and we were like.
 ### Answer: and dead."
82,"### Question: they were just doing beautifully at the at the ball.
 ### Answer: yes."
83,"### Question: he said.
 ### Answer: good job."
84,"### Question: and then one person came and said.
 ### Answer: these words are crazy."
85,"### Question: i guess one of the nicest things or greatest things that ever happened was i was single.
 ### Answer: man."
86,"### Question: alright this is this is walt disney's version of cinderella that or actually was made into a cartoon movie.
 ### Answer: mhm."
87,"### Question: and we were trying to figure out what we were going to do for dinner which ended up being mcdonald's.
 ### Answer: meaning meaning."
88,"### Question: i ended up with a beautiful grandbaby.
 ### Answer: and then right here."
89,"### Question: and the fairy godmother even put some air freshener in there so it didn't smell like a pumpkin.
 ### Answer: i'm going to the ball."
90,"### Question: and he kicks it and it appears to go through a window.
 ### Answer: at like at no not inside no inside."
91,"### Question: well you know you're winnipeg was a smaller city.
 ### Answer: now you're good."
92,"### Question: and here i was being a lonely young lady.
 ### Answer: and then he said."
93,"### Question: you know what?
 ### Answer: phew hm one shoe."
94,"### Question: and they held a ball in order for all the potential women i guess to come and dance with the prince.
 ### Answer: oh yes."
95,"### Question: the end.
 ### Answer: but the sandwich and the callers."
96,"### Question: but the prince finds the slipper on the stairway and began this search for the young woman who can wear that slipper.
 ### Answer: and that's okay."
97,"### Question: and i would get out my jelly.
 ### Answer: is okay."
98,"### Question: and he made his way back to school with an umbrella and stayed dry for the trip.
 ### Answer: i don't know."
99,"### Question: and we went down to this local creek.
 ### Answer: okay okay."
100,"### Question: but she knew that she could never attend just anything like that.
 ### Answer: nope i can't i can't."
101,"### Question: so they came and got me.
 ### Answer: oh no."
102,"### Question: she had was all bedecked in very beautiful clothes.
 ### Answer: okay."
103,"### Question: he doesn't even really know her name.
 ### Answer: no sorry."
104,"### Question: here's your umbrella.
 ### Answer: right rescue jacket?"
105,"### Question: sees them and thinks this is crazy.
 ### Answer: i know."
106,"### Question: and it's a happy ending because the little girl gets her kitty cat back.
 ### Answer: but that."
107,"### Question: and so cinderella simultaneously can prepare for the ball too.
 ### Answer: no problem no."
108,"### Question: and set the ladder up.
 ### Answer: and beautiful but mean mean man."
109,"### Question: the rescue worker gets to the tree.
 ### Answer: that's good then."
110,"### Question: and his mother is looking at him saying.
 ### Answer: in it slowly."
111,"### Question: so he did.
 ### Answer: ."
112,"### Question: it's a it's a feast day in in the in the roman catholic calendar that comes just after saint patrick's day which i think overshadows overshadows it.
 ### Answer: but then nope."
113,"### Question: and then you go to the refrigerator.
 ### Answer: the mama there."
114,"### Question: but somewhere along the line cinderella is going to be given a chance to go even as as the stepsisters are preparing for the ball and everyone else is getting ready.
 ### Answer: yeah."
115,"### Question: if it is for a child i would cut it with an x and make four pieces.
 ### Answer: well."
116,"### Question: and king and prince were there.
 ### Answer: my father had beck no beck no he bet on the ballgame."
117,"### Question: all of a sudden the lace curtain started going up eh raising up and up and ascending.
 ### Answer: ladder."
118,"### Question: and his mom told him to take the umbrella.
 ### Answer: and and butter."
119,"### Question: and when it was midnight she hadta jump out in her she jumped out in her carriage.
 ### Answer: ayayay."
120,"### Question: and i'd spread the jelly on it.
 ### Answer: then the woman can get the man and go."
121,"### Question: and she just hadta leave.
 ### Answer: no i don't want a umbrella."
122,"### Question: they were very very mean to her.
 ### Answer: then meet it."
123,"### Question: and and she says.
 ### Answer: and and soap and oh man."
124,"### Question: and woah and behold they got a letter there was going to be a ball.
 ### Answer: i i want to get."
125,"### Question: and it fit.
 ### Answer: and the clock strikes."
126,"### Question: i i yelled at him to slow down and said.
 ### Answer: i went down then uhhuh."
127,"### Question: because i was young my father wouldn't let me go on a date alone.
 ### Answer: tow truck."
128,"### Question: and they said we can try this on.
 ### Answer: and then it hasta do with the ball."
129,"### Question: you'll extract a couple of knives from your silverware drawer.
 ### Answer: and then and then prince's it's it's it was little thing."
130,"### Question: now is that kind of thing you wanted?
 ### Answer: it's to me."
131,"### Question: i was busy at work.
 ### Answer: little girl said."
132,"### Question: he's giving it back to his mother.
 ### Answer: oh yes yes."
133,"### Question: and then you take the knife to scrape some out.
 ### Answer: dead."
134,"### Question: and that will be the way he will identify this girl.
 ### Answer: holy cow."
135,"### Question: where it must have been beautiful.
 ### Answer: right."
136,"### Question: after having served over there for a year.
 ### Answer: so he went on."
137,"### Question: was all mental.
 ### Answer: okay."
138,"### Question: so they are on their way with a second ladder.
 ### Answer: and then that man look like look at this and said."
139,"### Question: as time passed father died.
 ### Answer: yes."
140,"### Question: and the the firemen have arrived with their truck.
 ### Answer: one yeah."
141,"### Question: the the carriage that she went in after midnight would go.
 ### Answer: and i i wanted to do what something something else."
142,"### Question: the ball hit the man in the house.
 ### Answer: yes."
143,"### Question: now my son would love getting wet.
 ### Answer: what what?"
144,"### Question: okay.
 ### Answer: stocter play."
145,"### Question: would you like to star in a movie?
 ### Answer: well i was."
146,"### Question: he has turned around is running through puddles back home in the hard rain with his hands held up over his head.
 ### Answer: bread."
147,"### Question: and just as cinderella thought she was gonna get out of the house her stepsisters and her stepmother ruined her gown.
 ### Answer: okay alright byebye."
148,"### Question: and breaks it.
 ### Answer: oh oh oh!"
149,"### Question: and we became friends and got an apartment together.
 ### Answer: alright?"
150,"### Question: and the play was alice in wonderland.
 ### Answer: the the okay the plate."
151,"### Question: but he can't do anything.
 ### Answer: yeah it's oh."
152,"### Question: mom told you it's not gonna rain.
 ### Answer: okay go in in there."
153,"### Question: i think you're going to need your umbrella.
 ### Answer: the fairy decided that the dress change it."
154,"### Question: and that was when everything was gonna go back the way it was.
 ### Answer: window."
155,"### Question: he got about halfway to school when it started to he started to feel raindrops on his head.
 ### Answer: but is good."
156,"### Question: and then for your jelly you could actually use a preserve or fruit jam that you make yourself so it's got really pure high quality ingredients.
 ### Answer: ball chu."
157,"### Question: and she goes over to this big house where she this lady has a couple of daughters that are very wealthy.
 ### Answer: ever after."
158,"### Question: and the cat ran up into the tree got to a far branch in the tree and sat down.
 ### Answer: and then this one go inside to."
159,"### Question: you may go to the ball just change.
 ### Answer: you can speak?"
160,"### Question: and after you know ten minutes they left.
 ### Answer: it's okay."
161,"### Question: so the little animals made her a dress.
 ### Answer: yes."
162,"### Question: as she runs down the stairs and is chased by the king's servant one of her glass slippers frees itself from her foot and is left on the steps.
 ### Answer: so i was had one two three months."
163,"### Question: and then the clock strikes twelve.
 ### Answer: peanuts get bread."
164,"### Question: okay guess we'll hafta get it fixed now.
 ### Answer: and then the the oh gosh knife and the split it."
165,"### Question: he asked her to come back to the kingdom and marry her.
 ### Answer: the the the girl hit the football."
166,"### Question: well the stepmom and the stepsisters were very excited.
 ### Answer: no no."
167,"### Question: and i have three brothers.
 ### Answer: debbie girl and a boy is creaming the."
168,"### Question: once upon a time there was a little boy who was on his way to school.
 ### Answer: read read read."
169,"### Question: so there i am.
 ### Answer: she was a thing."
170,"### Question: and the animals ended up helping cinderella by fetching the key from the the stepmother to open the door that she was locked behind.
 ### Answer: wait a minute."
171,"### Question: and he seemed very nice to her.
 ### Answer: and i went doctor in."
172,"### Question: you're not planning to go to college now.
 ### Answer: he say."
173,"### Question: and the ball goes inside to where i guess his father is sitting in the chair.
 ### Answer: because pretty good."
174,"### Question: she ended up recruiting some friends, like her mice and dog friends, to make the dress for her.
 ### Answer: yes."
175,"### Question: and she's gonna show them.
 ### Answer: it's."
176,"### Question: well you've got to get the bread someplace.
 ### Answer: va!"
177,"### Question: and the little little sammy this time says.
 ### Answer: and then the rub is gone."
178,"### Question: some of the birds.
 ### Answer: i do remember it."
179,"### Question: and of course the stepmother and the stepdaughters decided oh of course they were going to the dance.
 ### Answer: yet."
180,"### Question: no get back to your room.
 ### Answer: bicycle."
181,"### Question: and it breaks the window.
 ### Answer: but i like this one because working i use it like money."
182,"### Question: well i can make that even finer.
 ### Answer: eat."
183,"### Question: and he said no and waved goodbye.
 ### Answer: oh god."
184,"### Question: so you're gonna buy a loaf of bread.
 ### Answer: and he said."
185,"### Question: the wish being.
 ### Answer: i love airforce."
186,"### Question: and he's like.
 ### Answer: bye!"
187,"### Question: and he he he he doesn't wanna do it.
 ### Answer: no no."
188,"### Question: it's going to rain.
 ### Answer: okay."
189,"### Question: and here's the bird up here watching all the goings on.
 ### Answer: i have this one in there."
190,"### Question: they were going to they they had asked her to come back.
 ### Answer: and no umbrella."
191,"### Question: put the two slices together.
 ### Answer: good."
192,"### Question: the saddest thing that ever happened to me was with my husband.
 ### Answer: and then she says."
193,"### Question: okay.
 ### Answer: but three and about four hours hours."
194,"### Question: the little girl obviously does not care that the man is also stuck in the tree.
 ### Answer: and now it now it now the kid's so that he doesn't again this again."
195,"### Question: she tapped on the mice.
 ### Answer: died va."
196,"### Question: and she can't come down.
 ### Answer: doe sorry."
197,"### Question: again two slices of bread is nice, but for this we'll put the peanut butter on first with a knife.
 ### Answer: it's one minute before."
198,"### Question: which she then gives him.
 ### Answer: thank you."
199,"### Question: so they call the fire department.
 ### Answer: no no."
200,"### Question: well i could see the handwriting on the wall right there.
 ### Answer: yes."
201,"### Question: and i had kind of given up hope when they called one night and said.
 ### Answer: no."
202,"### Question: spread the peanut butter on one piece of the bread.
 ### Answer: and hafta see a god."
203,"### Question: it went right through to a lamp next to the armchair where his dad was sitting.
 ### Answer: more."
204,"### Question: it was very unusual to have a chamber group sing at the wedding.
 ### Answer: oh my god!"
205,"### Question: or to eats fruit.
 ### Answer: oh ho gee."
206,"### Question: but i did go out for basketball.
 ### Answer: and and lawnmower."
207,"### Question: but he ends up getting stuck and as well as the cat.
 ### Answer: he he cannot say here."
208,"### Question: so he's holding up his hand like.
 ### Answer: servant?"
209,"### Question: and then he was able to walk to school and not get wet anymore.
 ### Answer: potato sandwich."
210,"### Question: as he walks in the door mom is looking at him drenched in rain and says.
 ### Answer: one two three four five six seven eight nine ten years ago hence no."
211,"### Question: so i kind of worried about that.
 ### Answer: queen."
212,"### Question: her wasn't a silver slipper.
 ### Answer: and okay walking walking."
213,"### Question: but this goes on and on.
 ### Answer: she was the one."
214,"### Question: what?
 ### Answer: mhm."
215,"### Question: well i okay.
 ### Answer: oh yay hafta."
216,"### Question: and so he's getting quite soaked.
 ### Answer: and she she ball balled."
217,"### Question: louie's getting ready to go to school.
 ### Answer: now."
218,"### Question: and right as the.
 ### Answer: no they're no."
219,"### Question: the girl calls for firemen to come help that cat get down.
 ### Answer: but twelve o'clock."
220,"### Question: well up at the castle there was a prince.
 ### Answer: i don't doe."
221,"### Question: and cinderella's ugly mean stupid stepsisters were getting ready to go.
 ### Answer: no."
222,"### Question: cinderella's stepmother receives one.
 ### Answer: peanut butter and jelly too."
223,"### Question: and then her fairy godmother appears out of nowhere.
 ### Answer: no it's not gonna rain."
224,"### Question: they they stick to a place if they like it.
 ### Answer: oh man."
225,"### Question: so i'm like.
 ### Answer: computer."
226,"### Question: looks like there's a girl who's reaching up into a deciduous tree trying to catch her cat.
 ### Answer: okay."
227,"### Question: she got her beautiful dress on.
 ### Answer: cinderella cinderella cinderella."
228,"### Question: but the dog knocked the ladder down.
 ### Answer: really?"
229,"### Question: and the cat climbed up the tree.
 ### Answer: sleeping and tired."
230,"### Question: and put the lid on the sandwich.
 ### Answer: what's that name?"
231,"### Question: so he did find the glass slipper on the stair.
 ### Answer: thank you."
232,"### Question: and so the invitations went out to all and sundry.
 ### Answer: okay."
233,"### Question: well i took all of the things that was sterilized and told the the doctor at the hospital what to do.
 ### Answer: cinderella."
234,"### Question: well cinderella was very sad about this.
 ### Answer: yeah."
235,"### Question: well he wants to get married and move away.
 ### Answer: yeah."
236,"### Question: and he starts playing with it.
 ### Answer: pall ball."
237,"### Question: and but you know what?
 ### Answer: yeah."
238,"### Question: and and i when he got up the tree either the ladder fell down or the dog knocked it over.
 ### Answer: yeah."
239,"### Question: you take the bread out of its wrapper and put the two pieces side by side on the plate.
 ### Answer: thank you."
240,"### Question: and everything turned back to normal.
 ### Answer: mm."
241,"### Question: oh this is kind of gross.
 ### Answer: real good."
242,"### Question: so he had to go back to the house and get the umbrella which his mom was not happy with because he got drenched.
 ### Answer: oh jeez!"
243,"### Question: and then he was not in the picture anymore.
 ### Answer: no."
244,"### Question: and the daughter knows that her cat was stuck in the tree so she went and got her dad.
 ### Answer: okay."
245,"### Question: but yeah with firstnamel it was so much so much better.
 ### Answer: come on the this hospital."
246,"### Question: and mary was panicking.
 ### Answer: then he found he found."
247,"### Question: it was a young man in his thirties.
 ### Answer: the mother was sposta the school."
248,"### Question: she ran down the stairs to her carriage and hopped in just in time before the magic went away.
 ### Answer: ."
249,"### Question: so these two girls were incredibly spoiled brats.
 ### Answer: and i out for me."
250,"### Question: i handed it to the nurse.
 ### Answer: yeah."
251,"### Question: and she wants him to take the umbrella.
 ### Answer: he he care."
252,"### Question: she got to having a good time dancing at that ball and forgot about the midnight.
 ### Answer: i don't know."
253,"### Question: but we just called her peanut *inv1mhm which is the most little kid thing to do.
 ### Answer: so now one two three four but one two three it's me."
254,"### Question: but then her fairy godmother came and dressed her in beautiful clothing and magically created a pumpkin as a coach with white horses and a footman and so forth.
 ### Answer: and put the in the peanut butter and."
255,"### Question: so the mother looking out of a window in the house probably called the fire truck to come and get the cat.
 ### Answer: i i i don't know?"
256,"### Question: and i sat the desk in front of me a little boy a boy in my class his name was firstnamel lastnamef sat in front of me.
 ### Answer: i mean every day i'm trying."
257,"### Question: and gave her a beautiful gown and glass slippers.
 ### Answer: it is a man."
258,"### Question: and then the prince wanted to find out who it was that was at the ball since noone knew who cinderella was.
 ### Answer: and the end the end."
259,"### Question: so in the meantime.
 ### Answer: bob."
260,"### Question: and his mother is not very happy at him because he's gotten wet.
 ### Answer: one upon a time there were cinderella."
261,"### Question: so it's still nasty.
 ### Answer: yeah."
262,"### Question: and the little girl fell out of of the boat.
 ### Answer: and running, running."
263,"### Question: alright.
 ### Answer: thank you."
264,"### Question: and he can sort of watch over me if you will.
 ### Answer: oh."
265,"### Question: and she didn't give him an explanation.
 ### Answer: that's not."
266,"### Question: the bread you must select whether you want the whole wheat bread or white bread.
 ### Answer: whish!"
267,"### Question: no other than i i make sure that there's plenty of peanut butter on both sides of the bread.
 ### Answer: i want to go."
268,"### Question: put it on a plate.
 ### Answer: wasn't dat."
269,"### Question: books like to read children.
 ### Answer: because in he they hit this one."
270,"### Question: didn't know who she was.
 ### Answer: and then right here."
271,"### Question: a little boy is fixing to go out.
 ### Answer: she's having her."
272,"### Question: when he got home, his mother was angry because he was wet.
 ### Answer: soccer ball."
273,"### Question: and all of a sudden her fairy godmother appears and asks why she's crying.
 ### Answer: what a what a pictures?"
274,"### Question: she plunks her magic wand and suddenly the mice turn into horses.
 ### Answer: i don't know."
275,"### Question: no i'm not gonna take the umbrella.
 ### Answer: and."
276,"### Question: and they were ugly stepsisters.
 ### Answer: uncle firstnamej and no uncle firstnameg firstnamem."
277,"### Question: and then i would wrap it in cellophane.
 ### Answer: okay."
278,"### Question: and they snatched the dress off of her.
 ### Answer: oh my god what happened?"
279,"### Question: an invitation comes from the palace for these three girls to go meet the prince or something.
 ### Answer: no."
280,"### Question: and cinderella is left alone when all of a sudden her fairy godmother appears and says.
 ### Answer: a a girl so sweet."
281,"### Question: a child was playing soccer or kickball.
 ### Answer: and then her father died."
282,"### Question: i gave you the umbrella.
 ### Answer: put the peanut butter the bread."
283,"### Question: he wants to know who she is.
 ### Answer: it's you know tough."
284,"### Question: so the fairy godmother helped cinderella to climb up into the carriage.
 ### Answer: you eat the bread."
285,"### Question: and started crying that her cat wouldn't come back down.
 ### Answer: biting it."
286,"### Question: but they do.
 ### Answer: here?"
287,"### Question: you will spread it onto one piece of the bread.
 ### Answer: good job."
288,"### Question: but they should have called the professionals because now he's stuck up the tree also.
 ### Answer: sorry."
289,"### Question: and and cinderella's a very kind gentle person.
 ### Answer: but he doesn't these."
290,"### Question: and he tries the slipper on.
 ### Answer: oh no!"
291,"### Question: and the prince is like.
 ### Answer: and."
292,"### Question: they had an invitation.
 ### Answer: my leg no."
293,"### Question: so from there on after larry listened to his mom and took the umbrella every time she suggested it.
 ### Answer: yeah."
294,"### Question: but they're still in the water.
 ### Answer: i have one more than that, i have ten."
295,"### Question: and his mother is frowning at him saying.
 ### Answer: and that's it."
296,"### Question: but you have both pieces of bread on your plate now.
 ### Answer: and he he got it mom father."
297,"### Question: and while her two daughters just sit around and enjoyed themselves and act.
 ### Answer: and that."
298,"### Question: crunchy or smooth.
 ### Answer: good man."
299,"### Question: once they got there the mayordomo i'm not sure what to call him but the man who welcomed the guests said.
 ### Answer: and and he want her lettuce and her tie and."
300,"### Question: and so we're both single.
 ### Answer: he was talking about what it is with the with the ball."
301,"### Question: but but we're not a hundred percent sure that you could control this.
 ### Answer: wet."
302,"### Question: and went right through fred's picture window to his house.
 ### Answer: bobby maybe just maybe ace ace it."
303,"### Question: but she was unable to go.
 ### Answer: and fun the horse i mean yeah the horse."
304,"### Question: little jeanie came crying to her father.
 ### Answer: thank you go."
305,"### Question: mama says.
 ### Answer: and he gonna feel this."
306,"### Question: and this time when he went outside he took the umbrella with him.
 ### Answer: do that?"
307,"### Question: the little girl couldn't reach the cat.
 ### Answer: a drink of water."
308,"### Question: put the pieces of bread together.
 ### Answer: and she one two three."
309,"### Question: and they went to all the ladies trying to see if it would fit.
 ### Answer: yeah."
310,"### Question: and he leaves.
 ### Answer: okay."
311,"### Question: you open the jelly first.
 ### Answer: yes leave."
312,"### Question: i think if you drove straight it'd be a little over twenty hours.
 ### Answer: rain rain yeah."
313,"### Question: put the jelly on top of that.
 ### Answer: the singing."
314,"### Question: and then the prince says.
 ### Answer: no."
315,"### Question: and they they rip it and laugh at her.
 ### Answer: and the man the man and the window."
316,"### Question: alright when cinderella was a young girl her father remarried.
 ### Answer: the cinnerella stay kind of stay home."
317,"### Question: okay.
 ### Answer: but i don't know what is that that thing entry."
318,"### Question: no let her try.
 ### Answer: in the kitchen, get the plates and the bread and the knife and the jelly and the peanut butter."
319,"### Question: and not only that but while his mother was in the hospital i got to keep his brother at my house and and explain to him what was happening.
 ### Answer: man and lemon."
320,"### Question: they go up the ladder and get the.
 ### Answer: and dress dress."
321,"### Question: but he couldn't climb the tree.
 ### Answer: little dirl dop shoe shoe."
322,"### Question: he runs back.
 ### Answer: yeah."
323,"### Question: the cat and the the dog eventually chases after the cat.
 ### Answer: yes cat."
324,"### Question: it was very hard.
 ### Answer: and his mother gave it to him."
325,"### Question: the two wicked stepdaughters tried desperately to get their fat ugly feet squeezed into the little glass slipper but failed.
 ### Answer: okay i think."
326,"### Question: it's like everything has become dispensable.
 ### Answer: no."
327,"### Question: that's what happened.
 ### Answer: yeah."
328,"### Question: so we go through the same thing again.
 ### Answer: hat's it."
329,"### Question: and he looked took one look.
 ### Answer: and they said."
330,"### Question: she was calling for help because it is a very tight knit neighborhood where they live.
 ### Answer: what."
331,"### Question: you can put it on both sides or or one slice one side of both slices.
 ### Answer: and flossed."
332,"### Question: but the mother the the stepmother to the little girl was not kind to the little girl whose name was cinderella.
 ### Answer: cinderella."
333,"### Question: she dropped her slipper.
 ### Answer: oh he broke the door."
334,"### Question: you gonna take your umbrella with you.
 ### Answer: although he came."
335,"### Question: and we made this decision to to that we should look possibly look at foster care.
 ### Answer: yeah."
336,"### Question: the two stepsisters were they they they were really mad at her because the prince was paying attention to her instead of them.
 ### Answer: and the and the key fits."
337,"### Question: and back off he goes.
 ### Answer: write write two letters two letters two letters."
338,"### Question: lost her slipper.
 ### Answer: and come home."
339,"### Question: so the dad gets out the ladder.
 ### Answer: that's alright."
340,"### Question: the end i guess.
 ### Answer: and boom."
341,"### Question: and our family of four my husband firstnamet our two daughters firstnamem age nine and firstnamec age five and i got on an airplane.
 ### Answer: i don't know."
342,"### Question: and everything will go back to how it was.
 ### Answer: nothing was happening to that."
343,"### Question: and the fire department's there.
 ### Answer: you we said we said in in the e r in were in the in in the."
344,"### Question: and of course grandpa is looking out the window wondering where the heck that little whippersnapper is.
 ### Answer: ."
345,"### Question: it was in october.
 ### Answer: words this this of a group many many years ago."
346,"### Question: everything was coming back into order.
 ### Answer: and then i i watch them together."
347,"### Question: she didn't think it was a very good idea.
 ### Answer: and then all this thing."
348,"### Question: and the little boy just waves waves and.
 ### Answer: that's right."
349,"### Question: she's not going to go.
 ### Answer: and then maybe died sometimes it's easy sometimes difficult."
350,"### Question: it wasn't a happy life.
 ### Answer: uhoh."
351,"### Question: and mom says.
 ### Answer: you."
352,"### Question: and she cried.
 ### Answer: uhoh."
353,"### Question: and so he goes around the kingdom looking for her.
 ### Answer: ugh!"
354,"### Question: it wasn't going to rain.
 ### Answer: so sorry."
355,"### Question: five thousand years ago.
 ### Answer: yeah and then they hadta save the day."
356,"### Question: and the prince had his.
 ### Answer: it's a kick it."
357,"### Question: and they get married.
 ### Answer: yeah."
358,"### Question: so the next day when he went to school he took the umbrella and arrived at school nice and dry.
 ### Answer: here?"
359,"### Question: i would take out the bag which has the bread that i made a couple days ago in the bread machine.
 ### Answer: okay."
360,"### Question: and they said.
 ### Answer: back years back years."
361,"### Question: okay.
 ### Answer: ."
362,"### Question: two slices of bread, a knife.
 ### Answer: and and the man and wife."
363,"### Question: i went back to work because they said he would be better if i was working.
 ### Answer: oh so excited."
364,"### Question: and cinderella goes into her mom's old trunk and finds an old dress.
 ### Answer: shoes shoes goes out way."
365,"### Question: and while they are gone the fairy godmother and all the mice come in to talk to cinderella and dress her in the fairy godmother of course dresses her in finery and changes the pumpkin into a fancy coach.
 ### Answer: that's more good."
366,"### Question: i don't want it.
 ### Answer: eh man."
367,"### Question: so i was in the fourth grade i think.
 ### Answer: okay."
368,"### Question: he's about twenty thousand yards over here on the even.
 ### Answer: i'm me."
369,"### Question: and cinderella couldn't go to the ball.
 ### Answer: no."
370,"### Question: but they're not.
 ### Answer: yeah yeah yeah yeah."
