,prompt
16,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
never had the horn anything. drink yeah but it is horns. yeah it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
never had the horn of anything before. drinking yeah but it is not an actual horn. yeah it is."
17,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
no it not. what it make out. what horn that.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
no it is not. what is it made out of. what horn is that."
18,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
they not made wood. they wood. actual horn.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
they are not made out of wood. they are from wood. not actual horns."
19,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh ash. but there ash on there. ash.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh is this ash. but there may be some ash on there. is this ash."
20,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
these good. yeah no this spot. sleep bright light.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
so this would be good. yeah no that is spot on. could sleep with bright lights."
21,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
what a sulphite and what sulphates. thing that related sulphurs. to do sulphurs.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
what is a sulphite and what is a sulphate. things that are related to sulphur. to do with sulphur."
22,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you get chances chances. so how a players warp marios world for the snes. a finding hidden keys.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
you have not got a chance of a chance. so how was a player able to warp in super mario world for the snes. a by finding the hidden keys."
23,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
star roads. star road. those correct.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
the star road. the star road. that is correct."
24,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh ones. one enough the public knowledge. well no it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh this one. this one is enough in the public knowledge. well no it is not but."
25,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh foxes something. oh do know name though. fox two tails.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh the fox something. oh do not know the name though. fox with two tails."
26,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
the way that all present that. go into mode very. this lots.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
by the way is that all the presents that. just gone into trivia mode very quickly. that is a lot."
27,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yays present. believe it. listen but i want use boxes for thing.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yay good present. cannot believe it. listen but i do not want to use this box for other things."
28,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i like all rid of stuffs minutes. plus i have bag them. it is very bottle opener.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i am like all about getting rid of stuff at the minute. plus i already have a bag of them. it is a very ergonomic bottle opener."
29,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i absolutely horrified first. they two. i growing attached to it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i was absolutely horrified at first. they are the two. i am growing attached to it very."
30,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah bits was. when where that. at erm no.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah the bit was. when where was that. was at erm no."
31,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it alright. bit hot. bit tomatoeys.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
is it alright. just a bit hot. tiny bit tomatoey."
32,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that just well. not that he like so it principle he just. he not do it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that is just as well. not that he is like so it is not about being principled he just. he just does not do it."
33,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
sunday. and you want to go out on her as. no it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
sunday is with. and obviously you might want to go out on your own as well. no it is too short."
34,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
than other way. oh go across yes it. is that msix.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
rather than the other way. oh going across to yes it is. is that the msix."
35,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it quite. you you do you not know. you not understand why person behaving in way.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is quite. you are a you do you do not know. you do not quite understand why people are behaving in that way."
36,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
just arbitrary. that. well devon really arbitrary it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
just an arbitrary. that is arbitrary. well devon would be really arbitrary would not it."
37,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i very what. going down hill much faster me. hills you get and.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i am very what. very good at going down hills much faster than me. up hills you get slower and slower."
38,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
wi fi. it say it. my phones connect it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
the wi fi. it is saying it is on. my phone is not connected to it."
39,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
been. yeah i go up loos. i test.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
must have been. yeah i shall go up to the loo. i shall test."
40,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
these the table. and it not gone wastes. lookings very.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
those are on the table. and it has not gone to waste. no looking very nice."
41,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you know see backs. that i. hair it all.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
you know seen from the back. that i am female. long hair it is all."
42,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
do that. er trains times mornings. pack out full all commuter.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
probably do that. er are the trains busy at that time in the morning. packed out full of all the commuters."
43,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah and in course. i driven. most his working well.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah and out in of course. i got driven. most of my working well early."
44,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that my glasses. no it is. no these yours.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
is that my glass over. no it is not. no that is yours there."
45,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh look you lamb it is. welshes mind you but i it is. i it will be.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh look there you are english lamb it is too. should be welsh mind you but i am it is. i am sure it will be just as good."
46,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
he actually was he. he in good films. oh he as that.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
he was not that old actually was he. he was in a very good film. oh he was as old as that."
47,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
other end sadoes. and that is best that where best rice come. well area.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
the other end of sado. and apparently that is the best that is where the best rice comes from. well that area."
48,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
all go. yeah. yeah and ma was forms.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
all went very well. yeah so. yeah and ma was in good form."
49,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
wee. is small. oh the one the wall is.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
is for wee. is for small. oh the one near the wall is for small."
50,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
so it one. and it look. alright well these my.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
so it is the top one. and actually it looks smaller. alright well that is my strange."
51,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
what you doing. this boring. who this.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
what are you doing. that is boring. who is this."
52,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
and pier even mm mm. yeah but erm seeing london different angles. it subterranean it was it just.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
and the piers even the mm mm. yeah but also erm seeing london from a different angle. it was like being subterranean it was it was just so."
53,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
a sorts victorian senses. look up it lovely it really really and. get ones.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
a real sort of victorian sense. looking up it was lovely it was really good really good and. get another one."
54,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
cos i have have hairdressers. year i i. it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
cos i have had the same hairdresser. for years now i i. it is terrible because."
55,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah they. but it so. not understand.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah they just. but it was not so good. do not understand."
56,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it it it. it little bits in there. it a metres.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is it is. it is a little bit in there. it is over a metre."
57,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that they. yeah whereas if they just. truly if they dirty.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that they are. yeah whereas if they are just dirty. truly if they are just dirty."
58,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you get passport you bring him you. i have computers darling. i need buy a shop.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
you get a passport you can bring him with you. can i have the computer darling. i need to buy a shop for."
59,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it have. the times. yeah we got right things.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
does it have. to be in all the time. yeah we have not got the right thing."
60,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it is a. well i get i bought apple. it very flash.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is a. well i have got i have just bought an apple. it is very flash."
61,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
plus they do. that really nice hostels one. it yeah.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
plus they do not. that is a really nice hostel that one. it is yeah."
62,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
your english good. but she did want to speak phones. i had one her.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
her english was good. but she did not want to speak on the phone. i only had one of your."
63,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it bits it. you know bit it. it help last friday.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is a bit scary is it not. you know a bit worrying is it not. it did not help last friday."
64,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
we only then walk door. its sisters law. just finished cup teas were we.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
we would only then walked in the door. our sister in law. just finished off a cup of tea were not we."
65,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah a. a student. i know how old they or anything.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah is a. as a student. i do not know how old they are or anything."
66,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
just for days. for the days. it is a long drives and back it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
just for the day. just for the day. it is a long old drive there and back is it not."
67,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
a bit smelly. follow on that. what crab.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
be a bit smelly. follow on from that. what the crab."
68,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
they have. cos they like tell everybody what happen. i have mention that dad actually.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
surely they would have. cos they do like to tell everybody what is happening. i will have to mention that to dad actually."
69,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
cos i. want visit. and give them hug.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
cos i really. just want to visit. and just give them a hug."
70,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i know. just thinking you. thinking you.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i do not know. just thinking of you. thinking of you."
71,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
what these stand. who have mris scans. no she having a oh i know.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
what does that stand for. who is having an mri scan. no she is having a oh i do not know."
72,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah that. but i think she get have a it was mri. what is.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah that is after. but i think she is got to have a maybe it was not an mri. what is mri."
73,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it be local person. but they think it go abroad. and it like.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
hopefully it will be local people. but they think it is going to be abroad. and it is like."
74,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
well these though. let us bring back jobs. no but like it huge.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
well that is surprising though. let us bring back all the jobs. no but then like it was like a huge."
75,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
where are they. they german companies. they swedish.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
where are they from. are they german company. are they swedish."
76,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
they. they american. er no i know.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
maybe they are american. could they be american. er no i do not know."
77,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
manage it yourself. and i. you use alternative.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
can manage it yourself. and i am on. could you use alternative."
78,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah you. at least you not go burnt the stakes. poor woman they stand chance did they.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah you could. at least you were not going to be burnt at the stake. poor women they did not stand a chance did they."
79,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah that. you alright that. and that your knee not it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah that is fine. are you alright with that on there. and that is under your knees is not it."
80,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that go there. i just thinking so it picking you. able hear it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that will go there. i am just thinking so it is picking you as well. be able to hear it."
81,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
but amazing. there be there as well. yeah he actually erms moments.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
but would be amazing. there is not there as well. yeah he is actually at erm at the moment."
82,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
she er she get new jobs. yeah she. ah she.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
did she er did not she get a new job. yeah she is at the now. ah she is there now."
83,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it will. cos dad bless him and it just. it is releases is it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it will be. cos dad was so poorly bless him and it was just. it is a release is not it."
84,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
to yourself. you feel yourself getting pulled back in. yeah exactly and it now.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
to yourself away again. could you feel yourself kind of getting pulled back in. yeah exactly and it is hard now."
85,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i there help me i. so rest. yeah and.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i am there help me i am. so could rest. yeah exactly and."
86,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
how you find breathings. yeah it er. i hold their.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
how do you find that breathing. yeah it is er. i always hold my."
87,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
might why sinuse little bits. they were too to be. and one bits tender ends that the second.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
might be why sinuses were a little bit. they were not too bad to be fair. and that one was a bit tender on the end that the second."
88,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
one. yeah second toes just bits. so that sinuse.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that one there. yeah the second toe just a bit. there so that is sinuses."
89,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
er as cos i will able drive. for six weeks. yeah course i.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
er as in cos i will not be able to drive. for six weeks so. yeah course i would."
90,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i know how you feel that but. no er to me me. hassles you have with it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i do not know how you feel about that but. no not er to be to me. the hassle you have had with it."
91,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
no in its me times. oh this nice. you enjoy it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
no exactly not in my me time. oh that was so nice. did you enjoy it."
92,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
and it amazing. yeah i. rid rubbish i need my life.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
and it was amazing. yeah i might. got rid of all the rubbish i did not need in my life any more."
93,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
those it. if it fibroid it weigh you know. bits weight it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that is it. if it is a big fibroid it can weigh you know. a bit of weight cannot it."
94,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i never hear it. they have multipacks one well. come family i try everything i have tried everything.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i have never heard of it. they have the multipack one as well. coming from a vegetarian family i have tried everything i have tried everything."
95,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
have girlfriends. and things. they things.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
has a girlfriend. are and a thing. were they ever a thing."
96,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
when i younger. that would be when i i think he. he come.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
when i was younger. that would be when i was younger i think he is probably. he came to."
97,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah i imagine. yeah he is speakers. and confident it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah i can imagine. yeah he is a very good speaker. and confident with it."
98,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
how everything with erm weekends. it actually. was it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
how was everything with erm with this weekend. it was good actually. was it good."
99,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
not old. same old same. it good though it fun funs.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
not really same old. same old same old. it was really good though it was fun very fun."
100,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it is play. it a play. it an episodes plays.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is a play. it is a play. it is an episode of a play."
101,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
they sleep bed for four. i read page. ten them.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
they slept in a bed for four. i read the page. all ten of them."
102,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
no i mean like more sort just. what you mean. i understand what you mean.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
no i mean like more sort of just different like. what do you mean. i do not understand what you mean."
103,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
but because they found him was stray dogs he. yeah but he puppies. he was very.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
but because they found him though was a stray dog was not he. yeah but he was a puppy. he was very little."
104,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
in bed. no i do not like idea. it horrible.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
in the bed. no i do not like that idea at all. it is horrible."
105,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
they yeah. well they they get no kinds. that problems.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
they are yeah. well they have got no kind of back up. that is the problem."
106,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
no more that. it. it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
no more than that. it is really. it is difficult."
107,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it is going wipe lot person out. well they still too. i not going buy one.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is going to wipe a lot of people out. well they are still too high. i am not going to buy one."
108,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
well if it is possibility it. but i know tin mines reopen cornwalls. because tin price go up.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
well if it is a possibility is not it. but i know the tin mines are reopening in cornwall. because the tin price has gone right up."
109,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
person start wake up this. jamaica want separate. and who was it days.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
people are starting to wake up to this. jamaica want to separate. and who was it the other day."
110,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
everyone split up. this trends moment. these countries become smaller.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
everyone is splitting up. this is the trend at the moment. all these countries are becoming smaller."
111,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
in ways yeah. way. i mean together another ways.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
in a way yeah. in another way not. i mean very together in another way."
112,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
butler in buff. yeah this it. no we get strippers.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
a butler in the buff. yeah that is it. no we will get a stripper."
113,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
what it. the ends month is it. yeah in marches.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
so what is it. at the end of next month is it. yeah in the march."
114,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
see line up. seen line up. people on.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
seen the line up for. seen the line up for. some funky people on."
115,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
like as we close. yeah that cool it. so these was this cool.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
like as in we are that close. yeah that is cool is not it. so that was that was seriously cool."
116,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it stiff up. i know i know. bless him.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it will stiff up. i know so i do not know. bless him indeed."
117,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it there. but it up. you know what.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is there. but it might be up. do you know what."
118,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it right places. if it there it might up somewhere. is it one.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is in the right place. if it is not there it might be up here somewhere. is it that one."
119,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh you get those cute. i know. yeah which which is i do that.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh you have got that is cute. i do not know. yeah which is which is fine i can do that."
120,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
things yeah. it like you joke. he twenty.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
this thing yeah. it is like are you fucking joking. he is twenty."
121,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it journeys. because i going. yeah true i get three hundred and i was absolutely.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it should be an economical journey. because i am going. yeah true i once got three hundred out of mine and i was absolutely overjoyed."
122,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
no i. to have bread though. i sure that some come it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
no i am not really hungry. be nice to have some bread though. i am sure that some will come will not it."
123,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
no i believe so. about half hour till sun sets it. it is eight.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
no i do not believe so. probably about half an hour till the sun sets is not it. it is half eight now."
124,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh you go. thank you. thank you.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh there you go. good thank you. perfect thank you."
